text,cefr_level
"Common-use terminal designs means airlines share check - in counters , gates and IT systems .",B1
"Japan has more than one traditional system for counting years , including",B1
The story of each opera can be found in the separate articles .,B1
Common toads can live for many years and have survived for fifty years in captivity .,B1
Services can be described in terms of their main attributes .,B1
The testing was delayed because of some problems with the JT9D engines .,B1
"For most of the first half of the 20th century , with a few exceptions , petticoats were out of fashion .",B1
Mrs . Which is the leader of the three women and the wisest .,B1
"When a system writes data to cache , it must at some point write that data to the backing store as well .",B1
"Some of these tropical cyclones have caused deaths or a lot of property damage , usually because of flooding created by rain .",B1
These moths have several unusual features .,B1
"There are not many animals in the desert , but some animals are able to survive .",B1
"The dolmen dates from about 3,500 B. C .",B1
"The best fluid is plain , clean water .",B1
However in April 1940 he suffered a massive stroke .,B1
"During the third hour , an autopsy was performed .",B1
These are forest birds that tend to feed on insects at or near the ground .,B1
The provinces and territories are all sub-divided into regions for a variety of official and unofficial purposes .,B1
"Bertorelli died on 26 May 2017 , at the age of 69 , after a long illness .",B1
"After 1998 , he began suffering from both weight - control problems and injuries .",B1
A group that makes more money than it spends can lend or invest the excess profit .,B1
"If two computers send data at the same time , a collision will occur .",B1
Guerra died from cardiac arrest on 11 May 2018 at the age of 52 .,B1
The following tables include medals won by athletes on OCI teams .,B1
"However , there has been much debate over the origin and meaning of this word .",B1
The origin and meaning of this word are not completely known .,B1
Many right -wing politicians supported the proposal .,B1
"Many right -wing politicians supported the proposal , meaning it would reduce unreported employment .",B1
"In 2002 , there were nearly 1,500 pupils in the school , of whom fewer than 1,300 were at age 16 or below .",B1
"This spider is yellowish - brown with many dark spots on the rear half , in no order .",B1
"O' Connell was Australia 's oldest living Test captain up until his death on 28 June 2017 , at the age of 94 .",B1
Fighting in city was very violent .,B1
The presidential election was held on 28 October 2007 .,B1
This location is considered healing and is appreciated by some locals .,B1
This lake is considered healing and is appreciated by some local people .,B1
Political parties became legal in Ghana in 1992 .,B1
It was also during this period that the Egyptian writing system was further developed .,B1
"In the absence of international regulations , individual organizations were left to develop their own practices .",B1
The series remains popular today .,B1
"As well as the version played on television , there was another , more graphic version created .",B1
was first shown at E3 2001 as a seven-second video clip .,B1
Men and women are subject to different standards of modesty in dress .,B1
The second tunnel was discovered on 19 March 1975 .,B1
A kick in wrestling is an attack using any part of the foot or lower leg to strike the opponent 's body or head .,B1
Summers can be warm and dry for a long time .,B1
Deshpande died on 4 June 2016 from a long-illness in Mumbai at the age of 78 or 79 .,B1
"The plant grows in wet , shady places .",B1
The winners receive a championship belt instead of a trophy .,B1
Title V includes technical provisions .,B1
"In Western culture , it is traditional for the person proposing to be down on one bent knee .",B1
The magnetic fare card system is used for single journey tickets .,B1
A touchless smart card system is used for single journey tickets .,B1
"It has been published yearly from 1868 to 1875 , and again every year since 1886 .",B1
"In April 2009 , part of the roof fell down .",B1
"Unlike other races , the trophy is in the form of a grandfather clock , which has been a tradition since 1964 .",B1
"In fast food chains , ketchup is often put in small packets that hold ketchup inside .",B1
"The site was built between 2900 and 2600 BC , though there were possibly earlier buildings before 3000 BC .",B1
The reason for the designated hitter is because many pitchers are not good hitters .,B1
"In 2004 , the national university system changed .",B1
"In many countries where FGM is common , almost every woman and girl in the country has had FGM .",B1
Baseball bats are often used as a club-like weapon .,B1
Bats are sometimes used as a weapon in fights or attacks .,B1
"In this version , the wrestler either starts by lying down or dropping down on the mat while the opponent stands near to their head .",B1
Copper is one of a few metallic elements with a natural color other than gray or silver .,B1
"Still , German influence in the state remains very strong and visible .",B1
"Nowadays , the German influence in the State of Santa Catarina is still very strong .",B1
Laws retired from professional cycling in August 2016 .,B1
The region is rich in sea life .,B1
The repairs were completed on 16 July 2012 .,B1
Fingering is generally considered safe sex as long as there are no open wounds on the fingers .,B1
Lutes are made almost entirely of wood .,B1
"Librarians around the world still use the number , especially when identifying books published in the United States .",B1
The forests contain a great variety of plants and animals .,B1
The eight - year war ended in a tie .,B1
Some of the food waste produced by processing can be difficult to reduce without affecting the quality of the finished product .,B1
Large amounts of food waste can occur at any stage in the process of producing food .,B1
The main economical resource is agriculture .,B1
Baber started her career as a private school principal from 1886 - 1888 .,B1
A few species live in waters where there is very little food available .,B1
"In the period from 18,000 to 15,000 years ago , Australia became dryer , with lower temperatures and less rainfall .",B1
"Games are divided into 40 - minute halves , with a break in the middle .",B1
"Straight rail was played professionally in the US from 1873 to 1879 , but is uncommon there today .",B1
"Professional straight rail in the United States was only seen for six years , from 1873 to 1879 .",B1
From 1975 a phenomenon is growing .,B1
Emergencies often require delivery of different versions of the same communication at the same time .,B1
The weapon 's barrel can not be removed quickly .,B1
"The main economic activities of the town are tourism , commerce and fishing .",B1
More than 4400 m2 of the museum 's 11200 m2 is dedicated to exhibits .,B1
The mean of a list is all of the numbers added together and divided by the amount of numbers,B1
"The mean is calculated by adding all of the values together , then dividing by the number of values .",B1
It is important to keep children with croup as calm as possible .,B1
All four games in the series received positive reviews from critics .,B1
He is credited as one of the first Japanese wrestlers to gain a fan base outside of his native Japan in the United States .,B1
"A singer makes a musical statement , and then the musical chorus answers together .",B1
"A common example of this would be a person contracting a hit man , or a hired killer .",B1
"Mahar died on 21 May 2019 of heart failure , at the age of 52 .",B1
"The lake has a good variety of fishes , and is a popular tourist attraction for fishing .",B1
The basic parts of the LC - 6 were accepted .,B1
The Earth is about 4.54 billion years old .,B1
The golden everlasting is easy to grow .,B1
Planned economies contrast with command economies .,B1
Planned economies have sometimes been successful .,B1
Agriculture is one of the main activities in the province .,B1
"After the war , the buildings were used as an immigration and migration hostel .",B1
Teams are given up to four clues .,B1
The amount of fuel used to find specific impulse can be measured in different ways .,B1
The station has been built in a modern airport style .,B1
"The station was built in a modern airport style , with all of its many platforms sited underground .",B1
"In this way , a single QRcode can be used to find the same article , in many languages .",B1
"In this way , one QRcode can deliver the same article in many languages , even when the museum is unable to make its own translations .",B1
Drug trafficking and illegal drug use is a big problem in the nation .,B1
The modern city was established in 1956 .,B1
"Depending on their location , green tree frogs will live in several habitats .",B1
The green tree frog is one of the most popular pet frogs in the world .,B1
"Shammi died in her sleep on the March 6 , 2018 , from natural causes at the age of 88 .",B1
"Kalpokas died after following days ill health on 20 March 2019 , at the age of 75 .",B1
"Starting in 1941 , all entering students had to be high school graduates .",B1
"As of 2005 , the municipality had a total population of 7,172 .",B1
There are no specific treatments for dengue fever .,B1
"The Internet has made it easier for urban legends to spread , as people often spread them to their friends or family using e-mail .",B1
There are four kinds of exams : These are by far the most commonly taken exams .,B1
These are by far the most commonly taken exams .,B1
The movie became very popular before it was released because of the title and because of many people talked about it on the Internet .,B1
There were only a small number of men who were healthy .,B1
"However , species vary in the details .",B1
The museum also displays copies of the Erfurt Hebrew Manuscripts .,B1
"It flies slowly with its head facing downwards , looking for its main food , the large apple snails .",B1
"Many variations of ketchup were created , but the tomato - based version did not appear until about a century later after other types .",B1
"The bridge is 2109 m long and it was opened for traffic on December 18 , 2014 .",B1
Following people were members of the band .,B1
The theory has been criticized and modified over the course of time .,B1
A knee lift is a move where a wrestler uses their knee and brings it up to hit the opponent under the chin .,B1
This daisy may be used as a leaf vegetable .,B1
Reynolds was a Professor of English from 1894 to 1938 .,B1
"As many as 5,000 heat - related deaths were reported in the United States , and 780 direct and 400 indirect deaths in Canada .",B1
"More than 5,000 people in the United States died from this heat wave .",B1
"The mobile stalls sell mainly two kinds of products , street food and clothes .",B1
"The cartful sells mainly two kinds of products , street food and clothes .",B1
"German people started arriving in 1828 , after Brazilian independence .",B1
The authors suggest that oil dependence is a problem we need no longer have .,B1
Blackmail is against the law .,B1
A new worker spends the first few days of its adult life caring for the queen and young .,B1
A new ergate spends the first few days of its adult life caring for the queen and young .,B1
The following is a list of active codes of official ISO 4217 currency names .,B1
The chapel offers regular services .,B1
All the islands are low and flat .,B1
The county covers an area of 2004.44 km2 .,B1
"There is no exact total number of deaths , because many were unrecorded .",B1
"In 2005 , the municipality had a total population of 15,935 .",B1
"Because planners expected fairly light traffic volumes , the bridge was designed with two lanes , and it was just 39 ft wide .",B1
"Because the bridge was not expected to have large amounts of traffic , the bridge was designed with only two lanes .",B1
Black powder is the oldest type of mixed rocket fuel .,B1
Another method of protection is the release of a sour liquid from the skin .,B1
"It showed that 5,308,483 people were living in the United States , of whom 893,602 were slaves .",B1
A Reading Time for 20 minutes every day is designated to help students cultivate a reading habit .,B1
Reading Time is designed to help students having a good reading habit .,B1
"In the world , breast cancer is the fifth-most common cause of cancer death .",B1
"The channel broadcasts live from 5 am to midnight , with a newscast updated every 15 minutes in format .",B1
"The channel 's format shows rolling news bulletins , updated every 15 minutes .",B1
In contrast to the natural environment is the built environment .,B1
There is also the built environment .,B1
A wrestler simply hits the opponent with a chair .,B1
The pug finally arrived in the United States during the 19th century and soon became popular there as well .,B1
The pug was also becoming famous in other European countries as well .,B1
Pure aluminum is quite soft and lacking in strength .,B1
Lamarck gradually turned blind ; he died in Paris on 18 December 1829 .,B1
Competition occurs when organisms or species need or use the same resources .,B1
Different radio stations want their DJs to speak only at certain times .,B1
The earliest European settlers to the district arrived in the 1840s .,B1
"He is a key figure in landscape painting , and painted many works .",B1
"There is also the last type of a jigsaw puzzle , it is considered a 3D puzzle but made from a 2D pieces .",B1
Some critics reacted against the paperwork gameplay .,B1
Some serious nuclear accidents have occurred .,B1
"Statistically speaking , elevators are extremely safe .",B1
There are currently 14 teams playing in the DEL .,B1
Larger code size can be used to increase program speed when using .,B1
Most Irish people who came to the United States during the 1800s lived in big cities where there were many other Irish people .,B1
The region has a large area of national parks .,B1
Humans have had a dramatic effect on the environment .,B1
Humans have a large effect on the world .,B1
Production on the show ended in February 2001 .,B1
"While production on the show wrapped in February 2001 , new episodes were shown until March 2004 .",B1
"The iOS 6.1 update released on January 28 , 2013 had reports of reduced battery life and problems with signal strength .",B1
A Kiss My Foot match is a type of singles match where the loser has to kiss the winner 's foot .,B1
"During the war , the town was completely destroyed .",B1
"Ten days have passed since impact , and few dinosaurs remain .",B1
"In the days and weeks that follow , few dinosaurs remain .",B1
This event shows who has the hardest shot .,B1
"s of 2018 , there is no vaccine effective for prevention .",B1
"In the very late 1960s , people started inventing procedural languages .",B1
Barcelona is one of the most densely populated cities in Europe .,B1
"Barcelona is one of the most important tourist destinations in Europe , with millions of people visiting every year .",B1
Not everyone who has HIV has AIDS .,B1
Many people with HIV do not know they have it .,B1
Safety glasses are worn to protect the eyes in various situations .,B1
Glasses can also protect the eyes .,B1
The initial landings began at 04 : 50 on 19 August .,B1
"For transportation to centers , some shelters offer free transportation .",B1
Until 1 April 2010 the Departments were as follows .,B1
The structure and functions of the Departments were re-organized with effect from 1 April 2010 .,B1
The people are almost fully French-speaking .,B1
The award was first given for films made in 1948 .,B1
"Usually , sex is determined by an organism 's genes .",B1
"An aftershock is an earthquake that occurs after a previous earthquake , the mainshock .",B1
China also has a variety of forest types .,B1
The group sings theme music for anime which are famous overseas too .,B1
The group sings the theme music for the following anime .,B1
The frog spends most of the year underground .,B1
These are written papers about musical theory .,B1
Music Theory is examined through written papers .,B1
The movie was filmed from October 1991 to January 1992 .,B1
When a wrestler jumps and stamps both feet on any part of an opponent .,B1
Small businesses often face a lot of problems because of their size .,B1
He went to a religious school where the students often did n't have enough to eat .,B1
The idea behind all property law is property .,B1
It was one of the 75 divisions set up for the first federal election in 1901 .,B1
The division was one of the original 65 divisions contested at the first federal election .,B1
There are 14 subspecies of ring-necked snake .,B1
"In May 2015 , Brazil officially reported its first 16 cases of Zika fever .",B1
Pippi Longstocking is a fictional nine-year- old girl .,B1
"A bird bath is an attraction for many different species of birds to visit gardens , especially during the summer and drought periods .",B1
They controlled the life and destiny of everyone .,B1
The next attack was launched on 24 January .,B1
"Although concentrated in London , the outbreak affected other areas of the country as well .",B1
Cloud forests are in only a few areas above 500 metres .,B1
"By 1924 , these local magazines eventually closed down .",B1
A computer program is usually written by a computer programmer in a programming language .,B1
A computer program is written by a programmer .,B1
An analysis shows that the work is completely made in marble .,B1
Combs can be used to fix stray hairs and untangle wet hair .,B1
Designers need to take into account that color-blindness is highly sensitive to differences in material .,B1
Color blindness is very sensitive to changes in material .,B1
The pitching distance is 50 feet .,B1
"In the C programming language ,",B1
Example code in the C programming language is shown below .,B1
The head and thorax are white .,B1
"Traditionally , this dance is performed only by women at night without any instruments .",B1
"Traditionally , this dance performed without any instruments .",B1
"In February 1982 , two television antennas were added to the structure , increasing its total height to 1707 ft .",B1
"In 1867 , the town had a boom in population when gold and silver were found in the area .",B1
There are few characteristics common to all blues .,B1
"In modern times , belts for both men and women are used in BDSM .",B1
The opinions of viewers at the time was divided and it has not fared better over time .,B1
"The opinions of viewers at the time was divided The four-part serial aired in 1982 , and it has not done better over time .",B1
The series was popular with American audiences .,B1
"From 2012 to 2013 , viewership decreased from 613,000 to 571,000 .",B1
"From 2012 to 2013 , viewership went up from 613,000 to 571,000 .",B1
"Call and response is common in folk and choral singing of many people , especially in African musical cultures .",B1
"In the 19th century , water closets started to be more common than chamber pots , but chamber pots were still used until the mid-20th century .",B1
A team gets 3 points for a win .,B1
Demarest traveled around on foot to learn more about the Earth 's structure .,B1
"He utilized his journeys , traveling on foot , so as to add to his knowledge of the Earth 's structure .",B1
Students can also choose to attend a community college prior to further study at another college or university .,B1
Some students choose to attend a community college or junior college for two years beforehand to further study at another college or university .,B1
The home uniform colors of the club are red and white .,B1
The game received fairly good reviews from critics .,B1
It is best known for its engineering design work .,B1
It is best known for its design work for the built environment .,B1
"The median income for a household in 2000 was $ 16,563 per year .",B1
The current constitution dates from 1997 .,B1
"The book is divided into two parts , and is 108,260 words long .",B1
The main entrance to the castle is through the western barbican .,B1
"In July 2003 , iPass successfully issued its IPO , raising over $ 100 million .",B1
"In July 2003 , the firm successfully issued its IPO , raising over $ 100 million .",B1
"In December 2003 , the main building was closed for repair .",B1
"In December 2003 , the main building of the museum closed for a major renovation .",B1
By the end of the year French armies had won victories on all fronts .,B1
"By the end of the year French armies had won victories on all fronts , and as the year closed they began advancing into the Netherlands .",B1
"Its economy consists mainly of mining , agriculture and fishing .",B1
"Main industries in the province are mining , agriculture and fishing .",B1
There are three types of softball .,B1
There are two types of softball : fastpitch and slow pitch .,B1
Modern dry cleaning 's use of non-water - based solvents to remove soil and stains from clothes was reported as early as 1855 .,B1
The basic unit of an element is called an atom .,B1
The atom is the basic unit of chemistry .,B1
A major upgrade took place place between 2010 and is expected to be completed in 2015 .,B1
The A $ 32 million first phase of a major upgrade began in 2010 and is expected to be completed during 2015 .,B1
Three matches happened on the pre-show .,B1
One or two players regularly form a side on beach courts divided by a net like beach tennis .,B1
"The salt - water lake has a length , from northwest to southeast , of 22 km .",B1
"The lake has a length , from northwest to southeast , of 22 km ; its maximum width is 12 km .",B1
"In understanding a process , the process is typically mapped out and the process is monitored using control charts .",B1
"The median income for a household was $ 41,290 .",B1
The school is known for having a large number of white students compared with the national average .,B1
"Some adults travel to other countries to have access to sex with children , which is unavailable in their home country .",B1
This breed originated in the second half of the nineteenth century in Japan .,B1
This breed originated in the second half of the 19th century .,B1
They are usually in pairs or small noisy groups of 10 to 30 .,B1
7 - Eleven stores in Japan look different from stores in other countries as they offer a wider selection of products and services .,B1
His age at death has been estimated from 7 years six months to as old as 15 years .,B1
The format remains largely unchanged from previous seasons .,B1
The show 's format remained the same from previous seasons of the show .,B1
The Eta Carinae star system is currently one of the most massive that can be studied in great detail .,B1
"The book has been in print since it was first published , and has sold over one million copies .",B1
"The book has remained in print since its initial publication in 1971 , and has sold over two million copies .",B1
The island has an area of about 174 km .,B1
"started as a political youth organization in 2000 and became a political party in January 2006 , running in the 2006 elections .",B1
"He died in London on 5 December 2013 , aged 75 , from undisclosed causes .",B1
Japanese radios did pick up more American submarine activity and messages .,B1
"Sea levels were high , and there was a great variety of fish and other marine organisms .",B1
Female pandas may give birth to two young .,B1
The health risks associated with nuclear materials have also been of concern .,B1
The film won two wac awards of its eight nominations .,B1
The movie won two of its eight nominations .,B1
"At age ten she was traveling , had boyfriends and wanted to be an actress .",B1
Amateur radio operators talk to each other in many ways .,B1
"However , the theater was closed on royal order in 1792 and it became a warehouse .",B1
In 1792 it was closed and became a warehouse .,B1
"Another part of the show was the the knight 's tour , a famed chess puzzle .",B1
"The population was 22,699 at the 2010 census and an estimated 25,976 in 2018 .",B1
POTS can be caused by many different things .,B1
Slowpitch pitching distance is 50 feet for both male and female players .,B1
He died in the early hours of 13 July 2019 after a brief illness .,B1
Several November records for deep snow were broken .,B1
"Since measurings begun in 1905 , several November records for deep snow were broken .",B1
"The median income for a household was $ 34,669 .",B1
Six field guides have also been published .,B1
Four field guides were also released .,B1
"Porcelain originated in China , and ' china ' is the common name of the product .",B1
Pipelining improves performance by allowing a number of instructions to work their way through the processor at the same time .,B1
The area was opened up by settlers from the 1860s .,B1
Tennis is an Olympic sport and is played at all levels of society and at all ages .,B1
Tennis is now a sport that is played at the Olympics .,B1
Scientists do not know why the Christmas Island Pipistrelle 's numbers dropped .,B1
Adults of both sexes are medium to large birds .,B1
Late in life he suffered from depression .,B1
Adults fly in the late morning and early afternoon .,B1
"Shooting has inspired competition , and in several countries rifle clubs started to form in the 19th century .",B1
Centers often coordinate with outside programs .,B1
Centers often coordinate with outside programs such as 211 .,B1
The musical film was a natural development of the stage musical after the emergence of sound film technology .,B1
The musical movie was a natural development of the stage musical .,B1
"From 1989 to 1993 the Hipparcos satellite took measurements for over 100,000 nearby stars .",B1
The story has been changed many times in the centuries following its publication .,B1
The importation of slaves was made illegal in 1792 .,B1
Basic modifications are simple .,B1
Basic changes are simple .,B1
"In 2004 1896 , winners ' medals were in fact silver .",B1
"In 1896 , winners ' medals were made from silver .",B1
The movie was generally a failure .,B1
The design of the trains was finalized in September 2004 .,B1
"After September 1939 , the Dutch tried to improve the situation , but with little result .",B1
Over the years she has worked in various styles including jazz and art song .,B1
"For example , a person had to choose between two stocks .",B1
"For example , assume an investor had to choose between two stocks .",B1
He started his acting career in the late 1990s .,B1
The main economic activity is commerce with Haiti .,B1
Solar cells produce direct current electricity from sunlight which can be used to power equipment or to recharge a battery .,B1
Civil rights are protected by law and custom .,B1
The relief decoration was removed in 1945 .,B1
"On January 17 , 1995 , a magnitude 6.9 earthquake occurred at 5 : 46 am JST near the city .",B1
"On January 17 , 1995 a very powerful earthquake hit the city .",B1
"These birds feed on insects , including those stirred up by cattle .",B1
The six-part series followed the book in great detail including all key features .,B1
The six-part series followed the book in great detail .,B1
Programs are composed of instructions which operate on values .,B1
"The station 's large hall was the same shape as many 19th century concert halls , that is , it is shaped like a horse shoe .",B1
He was then nominated by the prime minister to serve as the Minister of Finance .,B1
"29,000 houses were destroyed and more than 5,000 people were killed .",B1
"Runner Types Since 1940 , there has been a shift to production of Runner type peanuts in the southeastern U.S .",B1
Rapid forces were needed to protect important locations from the enemy .,B1
Butter cakes are often made by beating the butter and sugar until fluffy .,B1
The highlighted countries qualified for the final .,B1
These five countries are directly qualified for the final .,B1
"In 1984 , when he was about 25 , he finally came into contact people from outside his family .",B1
She went school with in - depth study of languages .,B1
"She went to school with in - depth study of foreign languages , and now knows three languages .",B1
The movement of snakes in trees has only recently been studied .,B1
"Before the beginnig of the 1700s , there might not have been a permanent population there .",B1
Its relative minor is F minor and its parallel minor is A-flat minor .,B1
The relative minor is F minor .,B1
The pitching distance can range between 35 and 43 feet .,B1
"16 - bit programs usually run in a single virtual DOS machine , sharing memory between them .",B1
The episode includes cover versions of six songs .,B1
"The episode features cover versions of six songs , which received mixed reviews from critics .",B1
"All of the species are small land frogs , about 4 cm in length .",B1
The Grade is mostly used in mountaineering and big wall climbing .,B1
Construction on a new bridge began in 1987 and opened in 1997 .,B1
Construction on a new bridge began in 1987 and opened to traffic in 1992 .,B1
Scholars rocks can be any color .,B1
A serf had some freedom .,B1
Problems continued for the revised section .,B1
"However , the problem continued for the new revised section .",B1
"Chopsticks are used in cooking to stir materials in a pan , or to help move meals .",B1
"In the 1990s , major card issuers in the US raised the cash- back percentage up to 5 % .",B1
Latin was the most important language in most of Europe in the Middle Ages .,B1
"During the Early Modern Age , Latin still was the most important language of culture in Europe .",B1
"A female Gilbert 's potoroo can have two babies in a year , while carrying only one at a time .",B1
"The female potoroos can have two babies in a year , but only carry one at a time .",B1
These concerns have gotten larger because of the actions of China .,B1
"In the summer of 2014 , during a fight in his house he took a hit to the head .",B1
Top two teams in each group advanced to the semi-finals,B1
"The mouse - like hamsters are not real hamsters , although they look like hamsters .",B1
The movie cost about $ 15 million to make .,B1
The budget was around $ 15 million .,B1
Operators also check clothing for foreign objects before placing them into the machine .,B1
"As part of the changes , the transport to Ravenscraig will get better .",B1
"The airport still has an important role in emergency services operation , civil operation , and flight training .",B1
"At present , over 700 teachers work at the departments of the university .",B1
"At present , over 700 professors teach at the university .",B1
The movement is in sonata form .,B1
Some people keep this species as a pet .,B1
The first movement is written in sonata form and is in the key of C major .,B1
"With an area of 1648000 km2 , Iran ranks seventeenth in size among the countries of the world .",B1
"He moved to Paris in 1802 , where he spent the rest of his life , renting an upper floor of a house in a poor part of town .",B1
Many people argue about what makes up the mind .,B1
The attributes that make up the mind are debated .,B1
"s of 2010 the median income for a household was $ 41,290 , and the median income for a family was $ 65,673 .",B1
"Up to 20,000 people visit the city during the summer months .",B1
"Up to 20,000 people a day visit the city in July and August .",B1
The MIPS architecture has instructions which are 32 bits long .,B1
The size of the main cast was smaller compared to the previous series .,B1
"At the level of the operating system , SATA and PATA devices can be made to look the same .",B1
This was the first major history of Japan to be published in the West .,B1
Producing milk has been part of farming for a long time .,B1
"A TGV test train set the world record for the fastest wheeled train , reaching 574.8 km / h on 3 April 2007 .",B1
"In 2007 , a special TGV set the speed record for rail vehicles , reaching 574,8 km / h.",B1
"After that , many people contributed code to the project .",B1
"After the post , many people contributed code to the project .",B1
"Historically , Latin or Romance languages have been the official languages in this region .",B1
"The project will also include 420 to 470 units of housing , about 80 percent of the units will be condos and 20 percent will be apartments .",B1
The project will also include 420 to 470 units of housing .,B1
"She died in her sleep on 6 March 2018 , from natural causes at the age of 88 .",B1
"During the single player 's campaign , the player controls the following characters .",B1
There are about 28 subfamilies of this species in Australia .,B1
The convention is about what a state is and what rights and duties a state has .,B1
"In the night , many watches and warnings were stopped .",B1
Spanish athletes have won a total of 132 medals .,B1
Mortars have existed for hundreds of years .,B1
In 1984 Carstens decided not to seek a second term on account of his age and left office on 30 June 1984 .,B1
In 1984 he decided not to seek a second term on account of his age and left office on 30 June 1984 .,B1
The game 's multiplayer mode supports up to 64 players .,B1
The game 's multiplayer is planned to allow 64 players .,B1
The organization offers services and development programs .,B1
The groups offers services and developments programs .,B1
Nazi Germany attacked the Netherlands in May 1940 .,B1
"On 10 May 1940 , German troops started to attack the Netherlands .",B1
Jewelry may be made from a wide range of materials .,B1
Jewelry can be made from any material .,B1
"The game ends when a player has no more tiles , and there are no more tiles in the bag .",B1
"The game ends when a player plays every tile in his or her rack , and there are no remaining tiles to draw .",B1
"Now , the village and base 's combined population is about 4,500 .",B1
"In Finland , peace and quiet in isolation is often the object of the pastime .",B1
The atoms in metals have a strong attractive force between them .,B1
Egyptian athletes have won a total of 24 medals .,B1
"Egyptian athletes have won a total of 32 medals , with weightlifting as the top medal - producing sport .",B1
"Known as One Billion Rising for Justice , the event was held on February 2014 .",B1
"The buildings are not tall , but the complex covers a large area of land .",B1
The shell color keeps the animal hidden in the water .,B1
"As people from Europe began exploring Africa in the early 1800s , guns were made to handle the very large animals that people saw .",B1
Tanzania is divided into 26 Regions .,B1
"As of 2016 , Tanzania is divided into thirty - one regions .",B1
She turned 100 in September 2017 and died on 19 January 2018 in Rome .,B1
"In 2001 , the local community published its own findings about the forest 's sustainable management .",B1
It is usually possible to save a text conversation for later reference .,B1
"The telescope is unique because it will use seven mirror sections , each 8.4 m in diameter .",B1
"Eventually , because of Rome , the art of baking became known in Europe .",B1
Most sea snakes are able to breathe through their skin .,B1
"As of 2010 , the municipality had a total population of 8,343 , up from 7,172 as of 2005 .",B1
"When the U.S. joined World War II in December 1941 , it was thought to be a luxury to fly .",B1
The terracotta army figures were made in workshops .,B1
"The tiger shark is often found close to the coast , mainly in tropical and subtropical waters throughout the world .",B1
The movie was a flop .,B1
The important material of a given era is often its defining point .,B1
He died 23 December 2018 in Mumbai at the age of 86 after a brief illness .,B1
There are various factors that can make a seller more or less willing to produce and sell a good .,B1
Modern ketchup emerged in the early years of the 20th century .,B1
"Buchi Emecheta suffered a stroke in 2010 , and she died in London on 25 January 2017 , aged 72 .",B1
"Emecheta died in her sleep at her home in London on 25 January 2017 from complications of a stroke , aged 72 .",B1
The city is situated in a lake region of forests and plains .,B1
The town is near a lake region of forests and plains .,B1
Asian elephants are usually smaller than African elephants .,B1
"In general , Asian elephants are smaller than African elephants and have the highest body point on the head .",B1
The species within this family vary in size from 1.5 to .,B1
"The species in this family vary in size , from 1.5 cm to 12 cm .",B1
"The median income for a household in the county was $ 64,294 .",B1
Gathering is the traditional job of the women and children .,B1
Modern video cameras have numerous designs and uses .,B1
"Currently the university has about 27,000 students and employs about 4,600 people .",B1
The western grey kangaroo is one of the largest kangaroos .,B1
"The fourth- generation iPad is shipped with iOS 6.0 and later , iOS 7 .",B1
The fourth generation iPad shipped with iOS 6.1 .,B1
The line joins central Singapore to the north-eastern part of the island .,B1
"As the name implies , the line connects central Singapore to the north-eastern and south -western parts of the island .",B1
AS - 90D - Modified for desert use .,B1
AS -90D - Changed for use in the desert .,B1
The islands are a popular destination for Western tourists .,B1
The islands are a popular destination for tourists .,B1
French explorers and fur traders were the first recorded Europeans to pass through this region .,B1
"Individual animals regularly clean themselves and put their fur , feathers or other skin coverings in good order .",B1
Caramel sauce is made from heating water and caster sugar at a low to medium temperature .,B1
"In 2010 , there was an estimated 8,638 Kayapo people .",B1
Geordi was born blind and must wear a VISOR to help him see .,B1
"As of 2017 , the books had collectively sold more than seven million copies , and appeared on numerous childrens ' best-seller lists .",B1
An elbow drop is where a wrestler jumps or falls down onto their opponent while driving their elbow into anywhere on the opponent 's body .,B1
"On television , breaking the fourth wall has been done throughout the history of the medium .",B1
"On television , breaking the fourth wall is rare .",B1
Some backpacks are specifically designed to carry certain items .,B1
The province has 8 districts and 28 municipalities .,B1
It is made up of 8 districts and 28 municipalities .,B1
Music and sport are the only fields that largely fall outside the station 's remit .,B1
Not all musical instruments make notes of a certain pitch .,B1
Not all musical instruments make notes with a clear pitch .,B1
"By the end of 2008 , there were a total of 14 schools serving approximately 9,268 students .",B1
There are two kinds of adverbs : first form and second form .,B1
"In multiplayer mode , up to 4 people can play against each other non-stop .",B1
"In the 18th and 19th centuries , French literature and poetry reached its best .",B1
Frequently two types of sports competition are played in this rural community .,B1
The use of military units for civilian police is common to many eras and cultures .,B1
In the United States most employment in the field requires either a masters degree in statistics or a related field or a PhD .,B1
"The award consists of 100,000 Taka , an 18 carat gold medal weighing 3 tolas .",B1
Nematode species look very similar to one another .,B1
The complex consists of two temples .,B1
Most of the area around these mountain villages is covered with trees .,B1
"The game starts by purchasing foods , toys , and furniture to attract cats to the player 's home .",B1
"Gameplay revolves around the player purchasing food , cat toys , and furniture to attract a variety of cats to their home .",B1
"One of the first , and most powerful , techniques to improve performance is the use of instruction pipelining .",B1
This species may be seen flying from April-October in the south .,B1
"This species may be seen flying from April to October in the south , while in the north it flies from summer to early fall .",B1
"Arns died on January 12 , 2010 as a result of the 2010 Haiti earthquake .",B1
The climate of Ghana is tropical and there are two main seasons : the wet season and the dry season .,B1
There are two main seasons in Ghana : the wet and the dry seasons .,B1
One way to think about mental health is by looking at how well a person lives .,B1
Pius V died on 1 May 1572 of what is believed to be cancer .,B1
Bald eagles become adults when they are four or five years old .,B1
"Both at the server and the user level , Discord allows users to connect these to their Twitch . tv or other gaming service account .",B1
